800439,Hassan Pur (MC),429,89,6
800440,Hodal (MC),429,89,6
800441,DMC (U) (Part),430,90,7
800442,NDMC (Part),442,94,7
800443,Delhi Cantonment (CB) (Part),452,97,7
800444,Kesrisinghpur (M),457,99,8
800445,Karanpur (M),457,99,8
800446,Ganganagar (M Cl + OG),458,99,8
800447,Sadulshahar (M),459,99,8
800448,Gajsinghpur (M),460,99,8
800449,Padampur (M),460,99,8
800450,Raisinghnagar (M),461,99,8
800451,Anupgarh (M),462,99,8
800452,Vijainagar (M),464,99,8
800453,Suratgarh (M),465,99,8
800454,Sangaria (M),466,100,8
800455,Hanumangarh (M Cl),468,100,8
800456,Pilibanga (M),469,100,8
800457,Rawatsar (M),470,100,8
800458,Nohar (M),471,100,8
800459,Bhadra (M),472,100,8
800460,Bikaner (M Corp.),473,101,8
800461,Deshnoke (M),473,101,8
800462,Nokha (M),477,101,8
800463,Dungargarh (M),480,101,8
800464,Taranagar (M),481,102,8
800465,Rajgarh (M),482,102,8
800466,Sardarshahar (M),483,102,8
800467,Ratannagar (M),484,102,8
800468,Churu (M Cl + OG),484,102,8
800469,Ratangarh (M),485,102,8
800470,Rajaldesar (M),485,102,8
800471,Bidasar (M),486,102,8
800472,Chhapar (M),486,102,8
800473,Sujangarh (M),486,102,8
800474,Bissau (M),487,103,8
800475,Mandawa (M),487,103,8
800476,Jhunjhunun (M Cl),487,103,8
800477,Baggar (M),487,103,8
800478,Pilani (M) ,488,103,8
800479,Vidyavihar (M),488,103,8
800480,Surajgarh (M),488,103,8
800481,Chirawa (M),488,103,8
800482,Khetri (M),490,103,8
800483,Mukandgarh (M),491,103,8
800484,Nawalgarh (M),491,103,8
800485,Udaipurwati (M),492,103,8
800486,Behror (M),493,104,8
800487,Bhiwadi (M),496,104,8
800488,Tijara (M),496,104,8
800489,Khairthal (M),497,104,8
800490,Alwar (M Cl + OG),499,104,8
800492,Kherli (M),504,104,8
800493,Kaman (M),506,105,8
800494,Nagar (M),507,105,8
800495,Deeg (M),508,105,8
800496,Nadbai (M),509,105,8
800497,Kumher (M),510,105,8
800498,Bharatpur (M Cl + OG)  ,511,105,8
800499,Bhusawar (M),512,105,8
800500,Weir (M),512,105,8
800501,Bayana (M),513,105,8
800502,Bari (M),516,106,8
800503,Dhaulpur (M + OG),518,106,8
800504,Rajakhera (M),519,106,8
800505,Todabhim (M),520,107,8
800506,Hindaun (M),522,107,8
800507,Karauli (M),523,107,8
800508,Gangapur City (M),526,108,8
800509,Sawai Madhopur (M),531,108,8
800510,Bandikui (M),533,109,8
800511,Dausa (M),536,109,8
800512,Lalsot (M),537,109,8
800513,Kotputli (M),538,110,8
800514,Viratnagar (M),539,110,8
800515,Shahpura (M),540,110,8
800516,Chomu (M),541,110,8
800517,Kishangarh Renwal (M),542,110,8
800518,Sambhar (M),542,110,8
800519,Phulera (M + OG),542,110,8
800520,Jobner (M),542,110,8
800521,Bagru (M),545,110,8
800522,Jaipur (M Corp.) (Part),545,110,8
800523,Chaksu (M),550,110,8
800524,Ramgarh (M),551,111,8
800525,Fatehpur (M),551,111,8
800526,Lachhmangarh (M),552,111,8
800527,Sikar (M Cl + OG),553,111,8
800528,Losal (M),554,111,8
800529,Khandela (M + OG),555,111,8
800530,Sri Madhopur (M),555,111,8
800531,Reengus (M),555,111,8
800532,Neem-Ka-Thana (M),556,111,8
800533,Ladnu (M),557,112,8
800534,Didwana (M + OG),558,112,8
800535,Nagaur (M + OG),560,112,8
800536,Mundwa (M),560,112,8
800537,Kuchera (M),560,112,8
800538,Merta City (M),562,112,8
800539,Parbatsar (M),564,112,8
800540,Makrana (M + OG),565,112,8
800541,Kuchaman City (M),566,112,8
800542,Nawa (M),566,112,8
800543,Phalodi (M + OG),567,113,8
800544,Jodhpur (M Corp. + OG),570,113,8
800545,Pipar City (M),573,113,8
800546,Bilara (M),573,113,8
800547,Jaisalmer (M),574,114,8
800548,Pokaran (M),575,114,8
800549,Balotra (M),579,115,8
800550,Barmer (M),582,115,8
800551,Jalor (M),587,116,8
800552,Bhinmal (M),588,116,8
800553,Sanchore (M),590,116,8
800554,Sheoganj (M + OG),592,117,8
800555,Sirohi (M),593,117,8
800556,Pindwara (M),594,117,8
800557,Mount Abu (M),595,117,8
800558,Abu Road (M + OG),595,117,8
800559,Jaitaran (M),597,118,8
800560,Sojat (M),599,118,8
800561,Pali (M Cl),601,118,8
800562,Rani (M),603,118,8
800563,Sadri (M),603,118,8
800564,Takhatgarh (M),604,118,8
800565,Sumerpur (M),604,118,8
800566,Falna (M),605,118,8
800567,Bali (M),605,118,8
800568,Kishangarh (M Cl),606,119,8
800569,Pushkar (M),607,119,8
800570,Ajmer (M Corp.),607,119,8
800571,Beawar (M Cl + OG),609,119,8
800573,Nasirabad (CB),611,119,8
800574,Sarwar (M),613,119,8
800575,Kekri (M),614,119,8
800576,Malpura (M + OG),615,120,8
800577,Niwai (M),617,120,8
800578,Tonk (M Cl),618,120,8
800579,Todaraisingh (M),619,120,8
800580,Deoli (M),620,120,8
800581,Uniara (M),621,120,8
800582,Nainwa (M),623,121,8
800583,Indragarh (M),624,121,8
800584,Lakheri (M),624,121,8
800585,Keshoraipatan (M),625,121,8
800586,Kaprain (M),625,121,8
800587,Bundi (M + OG),626,121,8
800588,Asind (M),627,122,8
800589,Gulabpura (M),628,122,8
800591,Gangapur (M),633,122,8
800592,Bhilwara (M Cl),634,122,8
800593,Jahazpur (M),636,122,8
800594,Mandalgarh (M),637,122,8
800595,Deogarh (M),640,123,8
800596,Amet (M),641,123,8
800597,Rajsamand (M),643,123,8
800598,Nathdwara (M),645,123,8
800599,Dungarpur (M),646,124,8
800600,Sagwara (M),648,124,8
800601,Banswara (M + OG),652,125,8
800602,Kushalgarh (M),654,125,8
800603,Begun (M),657,126,8
800604,Rawatbhata (M),658,126,8
800605,Chittaurgarh (M),659,126,8
800606,Kapasan (M),660,126,8
800607,Nimbahera (M),663,126,8
800608,Bari Sadri (M),664,126,8
800609,Kota (M Corp.),667,127,8
800610,Kaithoon (M),667,127,8
800611,Ramganj Mandi (M),668,127,8
800612,Sangod (M),669,127,8
800613,Mangrol (M),670,128,8
800614,Antah (M),671,128,8
800615,Baran (M),672,128,8
800616,Chhabra (M),676,128,8
800617,Jhalawar (M),679,129,8
800618,Jhalrapatan (M),679,129,8
800619,Aklera (M),680,129,8
800620,Bhawani Mandi (M),682,129,8
800621,Pirawa (M),683,129,8
800622,Fatehnagar (M),685,130,8
800623,Udaipur (M Cl),689,130,8
800624,Bhinder (M),690,130,8
800625,Kanor (M),690,130,8
800626,Salumbar (M),692,130,8
800627,Chhoti Sadri (M),698,131,8
800628,Pratapgarh (M),699,131,8
800629,Behat (NP),701,132,9
800630,Saharanpur (M Corp.),702,132,9
800631,Chilkana Sultanpur (NP),703,132,9
800632,Sarsawa (NPP),703,132,9
800633,Nakur (NPP),703,132,9
800634,Ambehta (NP),703,132,9
800635,Gangoh (NPP),703,132,9
800636,Titron (NP),703,132,9
800637,Deoband (NPP),704,132,9
800638,Nanauta (NP),705,132,9
800639,Rampur Maniharan (NP),705,132,9
800640,Un (NP),706,133,9
800641,Jhinjhana (NP),706,133,9
800642,Kairana (NPP),706,133,9
800643,Kandhla (NPP),706,133,9
800644,Ailam (NP),707,133,9
800645,Shamli (NPP),707,133,9
800646,Banat (NP),707,133,9
800647,Garhi Pukhta (NP),707,133,9
800648,Thana Bhawan (NP),707,133,9
800649,Jalalabad (NP),707,133,9
800650,Purquazi (NP + OG),708,133,9
800651,Charthawal (NP),708,133,9
800652,Muzaffarnagar (NPP),708,133,9
800653,Sisauli (NP),709,133,9
800654,Budhana (NP + OG),709,133,9
800655,Shahpur (NP),709,133,9
800656,Khatauli (NPP),710,133,9
800657,Jansath (NP),711,133,9
800658,Bhokarhedi (NP),711,133,9
800659,Miranpur (NP),711,133,9
800660,Sahanpur (NP),712,134,9
800661,Najibabad (NPP),712,134,9
800663,Kiratpur (NPP + OG),712,134,9
800664,Mandawar (NP),713,134,9
800665,Bijnor (NPP),713,134,9
800666,Jhalu (NP),713,134,9
800667,Haldaur (NPP),713,134,9
800668,Nagina (NPP),714,134,9
800669,Warhapur (NP),714,134,9
800670,Afzalgarh (NPP),715,134,9
800671,Sherkot (NPP),715,134,9
800672,Dhampur (NPP),715,134,9
800673,Nehtaur (NPP),715,134,9
800674,Seohara (NPP + OG),715,134,9
800675,Sahaspur (NP),715,134,9
800676,Noorpur (NPP),716,134,9
800677,Chandpur (NPP),716,134,9
800678,Thakurdwara (NPP),717,135,9
800679,Kanth (NP),718,135,9
800680,Umri Kalan (NP),718,135,9
800681,Bhojpur Dharampur (NP),719,135,9
800682,Moradabad (M Corp.),719,135,9
800683,Kundarki (NP),720,135,9
800684,Bilari (NPP),720,135,9
800685,Sirsi (NP),721,135,9
800686,Sambhal (NPP),721,135,9
800687,Bahjoi (NPP),722,135,9
800688,Narauli (NP),722,135,9
800689,Chandausi (NPP),722,135,9
800690,Maswasi (NP),723,136,9
800691,Suar (NPP),723,136,9
800692,Tanda (NPP),724,136,9
800693,Bilaspur (NPP),725,136,9
800694,Kemri (NP),725,136,9
800695,Rampur (NPP),726,136,9
800696,Shahabad (NP),727,136,9
800697,Milak (NPP),728,136,9
800698,Dhanaura (NPP),729,137,9
800699,Bachhraon (NPP),729,137,9
800700,Gajraula (NP),729,137,9
800701,Naugawan Sadat (NP),730,137,9
800702,Amroha (NPP),730,137,9
800703,Joya (NP),730,137,9
800704,Hasanpur (NPP),731,137,9
800705,Ujhari (NP),731,137,9
800706,Karnawal (NP),732,138,9
800707,Sardhana (NPP),732,138,9
800708,Daurala (NP),732,138,9
800709,Lawar (NP),732,138,9
800710,Phalauda (NP),733,138,9
800711,Bahsuma (NP),733,138,9
800712,Hastinapur (NP),733,138,9
800713,Mawana (NPP),733,138,9
800714,Parikshitgarh (NP),733,138,9
800715,Kithaur (NP),733,138,9
800716,Meerut (M Corp.),734,138,9
800717,Meerut (CB),734,138,9
800718,Sewalkhas (NP),734,138,9
800719,Kharkhoda (NP),734,138,9
800720,Chhaprauli (NP),735,139,9
800721,Tikri (NP),735,139,9
800722,Doghat (NP),735,139,9
800723,Baraut (NPP),735,139,9
800724,Baghpat (NPP),736,139,9
800725,Agarwal Mandi (Tatiri) (NP),736,139,9
800726,Aminagar Sarai (NP),736,139,9
800727,Khekada (NP),737,139,9
800728,Patala (NP),738,140,9
